Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
175,9,0.4180382776616619,68,1,25,43,60.0
176,11,0.4159480862733536,66,1,32,34,60.0
177,30,0.41386834584198684,47,1,25,22,60.125761830785976
178,-55,0.4117990041127769,132,1,54,78,60.0
179,-21,0.40974000909221303,98,1,39,59,60.0
180,-42,0.40769130904675194,119,1,45,74,60.0
181,-60,0.40565285250151817,137,1,57,80,60.0
182,-7,0.4036245882390106,84,1,36,48,60.0
183,40,0.4016064652978155,37,1,16,21,60.0
184,32,0.3995984329713264,45,1,11,34,60.0
185,-38,0.3976004408064698,115,1,41,74,60.0
186,35,0.39561243860243744,42,1,10,32,60.0
187,25,0.3936343764094253,52,1,16,36,60.0
188,15,0.39166620452737816,62,1,26,36,60.0
189,37,0.3897078735047413,40,1,18,22,60.0
190,4,0.3877593341372176,73,1,23,50,60.0
191,-8,0.3858205374665315,85,1,34,51,60.0
192,54,0.38389143477919885,23,1,10,13,60.0
193,43,0.3819719776053028,34,1,12,22,60.0
194,50,0.3800621177172763,27,1,10,17,60.284204279834675
195,53,0.37816180712868996,24,1,8,16,61.22666186526486
196,52,0.37627099809304654,25,1,9,16,61.696300694651825
197,59,0.3743896431025813,18,1,6,12,61.930325127681236
198,-66,0.37251769488706843,143,1,62,81,60.0
199,20,0.3706551064126331,57,1,16,41,60.0
200,44,0.36880183088056995,33,1,14,19,60.0
201,34,0.3669578217261671,43,1,23,20,60.21651086922486
202,21,0.36512303261753626,56,1,22,34,60.0
203,3,0.3632974174544486,74,1,30,44,60.0
204,53,0.3614809303671764,24,1,7,17,60.0
205,-27,0.3596735257153405,104,1,39,65,60.0
206,43,0.3578751580867638,34,1,12,22,60.0
207,54,0.35608578229633,23,1,5,18,60.0
208,40,0.3543053533848483,37,1,11,26,60.24577849426737
209,55,0.35253382661792404,22,1,3,19,61.20426907008586
210,55,0.3507711574848344,22,1,7,15,61.68351434586465
211,52,0.34901730169741024,25,1,6,19,61.92313697768881
212,54,0.3472722151889232,23,1,6,17,62.04294829056828
213,55,0.3455358541129786,22,1,8,14,62.10285394549171
214,56,0.3438081748424137,21,1,6,15,62.132806772195266
215,56,0.3420891339682016,21,1,6,15,62.14778318516797
216,-170,0.3403786882983606,247,1,86,161,60.0
217,41,0.3386767948568688,36,1,10,26,60.0
218,44,0.33698341088258443,33,1,14,19,60.0
219,-8,0.3352984938281715,85,1,29,56,60.0
220,48,0.33362200135903064,29,1,7,22,60.0
221,47,0.33195389135223546,30,1,11,19,60.0
222,56,0.3302941218954743,21,1,6,15,60.24650279292092
223,50,0.32864265128599696,27,1,12,15,61.204631195151904
224,57,0.326999438029567,20,1,6,14,61.683695396267304
225,59,0.3253644408394192,18,1,5,13,61.92322749682496
226,55,0.3237376186352221,22,1,9,13,62.04299354710376
227,45,0.322118930542046,32,1,10,22,60.04099210189699
228,-104,0.32050833588933575,181,1,67,114,60.0
229,28,0.31890579420988907,49,1,12,37,60.0
230,46,0.3173112652388396,31,1,7,24,60.0
231,55,0.3157247089126454,22,1,3,19,60.21188755398167
232,58,0.3141460853680822,19,1,4,15,61.18732357568209
233,55,0.3125753549412418,22,1,7,15,61.6750415865323
234,47,0.31101247816653554,30,1,13,17,61.91890059195741
235,58,0.30945741577570285,19,1,5,14,62.040830094669964
236,52,0.3079101286968243,25,1,4,21,60.00295657051956
237,43,0.3063705780533402,34,1,10,24,60.0
238,39,0.30483872516307353,38,1,15,23,60.0
239,45,0.3033145315372582,32,1,9,23,60.0
240,46,0.3017979588795719,31,1,9,22,60.0
241,48,0.30028896908517405,29,1,11,18,60.0
242,12,0.2987875242397482,65,1,18,47,60.0
243,7,0.29729358661854943,70,1,22,48,60.0
244,20,0.29580711868545667,57,1,17,40,60.0
245,27,0.2943280830920294,50,1,16,34,60.0
246,10,0.29285644267656924,67,1,19,48,60.0
247,38,0.2913921604631864,39,1,12,27,60.0
248,53,0.28993519966087045,24,1,6,18,60.0
249,49,0.2884855236625661,28,1,4,24,60.0
250,50,0.28704309604425327,27,1,7,20,60.27930910556361
251,52,0.285607880564032,25,1,10,15,61.221034351473065
252,61,0.28417984116121187,16,1,3,13,61.69189697442779
253,51,0.2827589419554058,26,1,6,20,61.927328285905155
254,56,0.28134514724562876,21,1,5,16,62.04504394164384
255,57,0.2799384215094006,20,1,6,14,62.10390176951318
256,60,0.27853872940185365,17,1,2,15,62.13333068344785
